"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"qld-south","offshore wind|5","offshore",5,0.403,0.445,1096,1373,3145.155,3308.117,3.317,3.317,3.317,3.317,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.403, 1096)","3 (0.445, 1373)","3 (0.445, 1373)","3 (0.445, 1373)"
"qld-south","onshore wind|1","onshore",1,0.315,0.315,349,373,2023.187,2023.187,20.91,15.448,19.993,36.773,0.33,7.97,19.82,19.82,19.82,19.82,19.48,11.85,"ON [1]","12 (0.315, 349)","15 (0.315, 373)","20 (0.315, 373)","37 (0.315, 373)"
"qld-south","onshore wind|2","onshore",2,0.304,0.304,668,655,2023.187,2023.187,27.765,21.089,28.471,36.308,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"ON [2]","0 (0.304, 668)","21 (0.304, 655)","28 (0.304, 655)","36 (0.304, 655)"
"qld-south","onshore wind|3","onshore",3,0.291,0.289,214,250,2023.187,2023.187,3.893,2.013,3.576,7.16,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,"ON [3]","0 (0.291, 214)","2 (0.289, 250)","4 (0.289, 250)","7 (0.289, 250)"
"qld-south","onshore wind|4","onshore",4,0.277,0.279,455,461,2023.187,2023.187,56.48,38.96,56.411,77.627,0,0.01,0.01,0.01,0.01,0.01,0.01,0,"ON [4]","0 (0.277, 455)","39 (0.279, 461)","56 (0.279, 461)","78 (0.279, 461)"
"qld-south","onshore wind|5","onshore",5,0.278,0.277,662,668,2023.187,2023.187,117.806,81.852,117.932,132.725,0,0,0,0.01,0.01,0.01,0,0,"ON [5]","0 (0.278, 662)","82 (0.277, 668)","118 (0.277, 668)","133 (0.277, 668)"
"qld-outback","large-scale solar pv|1","solar",1,0.281,0.281,332,338,1560.685,1560.685,639.982,590.677,641.324,639.982,0,0.01,0.01,0.02,0.02,0.03,0.02,0.03,"PV [1]","0 (0.281, 332)","591 (0.281, 338)","641 (0.281, 338)","640 (0.281, 338)"
"qld-outback","large-scale solar pv|2","solar",2,0.281,0.282,199,213,1560.685,1560.685,434.643,392.382,392.382,434.643,0.1,3.11,6.11,9.12,12.13,15.95,52.19,138.28,"PV [2]","138 (0.281, 199)","392 (0.282, 213)","392 (0.282, 213)","435 (0.282, 213)"
"qld-outback","onshore wind|1","onshore",1,0.303,0.304,357,386,2023.187,2023.187,91.322,62.063,91.007,91.374,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,"ON [1]","0 (0.303, 357)","62 (0.304, 386)","91 (0.304, 386)","91 (0.304, 386)"
"qld-outback","onshore wind|2","onshore",2,0.3,0.3,566,581,2023.187,2023.187,102.109,73.929,101.474,103.364,0,0,0.01,0.01,0.01,0.01,0,0,"ON [2]","0 (0.3, 566)","74 (0.3, 581)","101 (0.3, 581)","103 (0.3, 581)"
